name,url,State,Party,Served,District
"Senator Talmadge, Herman E.",https://www.congress.gov/member/herman-talmadge/T000035,Georgia,Democratic,Senate: 1957-1981,
"Representative Tancredo, Thomas G.",https://www.congress.gov/member/thomas-tancredo/T000458,Colorado,Republican,House: 1999-2009,6
"Representative Tanner, John S.",https://www.congress.gov/member/john-tanner/T000038,Tennessee,Democratic,House: 1989-2011,8
"Representative Tate, Randy",https://www.congress.gov/member/randy-tate/T000048,Washington,Republican,House: 1995-1997,9
"Representative Tauke, Thomas Joseph",https://www.congress.gov/member/thomas-tauke/T000053,Iowa,Republican,House: 1979-1991,2
"Representative Tauscher, Ellen O.",https://www.congress.gov/member/ellen-tauscher/T000057,California,Democratic,House: 1997-2009,10
"Representative Tauzin, W. J. (Billy)",https://www.congress.gov/member/w-tauzin/T000058,Louisiana,Republican,House: 1979-2005,3
"Representative Taylor, Charles H.",https://www.congress.gov/member/charles-taylor/T000067,North Carolina,Republican,House: 1991-2007,11
"Representative Taylor, G.",https://www.congress.gov/member/gene-taylor/T000075,Missouri,Republican,House: 1973-1989,7
"Representative Taylor, Gene",https://www.congress.gov/member/gene-taylor/T000074,Mississippi,Democratic,House: 1989-2011,4
"Representative Taylor, Roy A.",https://www.congress.gov/member/roy-taylor/T000099,North Carolina,Democratic,House: 1959-1977,11
"Representative Taylor, Scott",https://www.congress.gov/member/scott-taylor/T000477,Virginia,Republican,House: 2017-2019,2
"Representative Taylor, Van",https://www.congress.gov/member/van-taylor/T000479,Texas,Republican,House: 2019-Present,3
"Representative Teague, Charles M.",https://www.congress.gov/member/charles-teague/T000109,California,Republican,House: 1955-1975,13
"Representative Teague, Harry",https://www.congress.gov/member/harry-teague/T000466,New Mexico,Democratic,House: 2009-2011,2
"Representative Teague, Olin E.",https://www.congress.gov/member/olin-teague/T000110,Texas,Democratic,House: 1945-1979,6
"Representative Tejeda, Frank",https://www.congress.gov/member/frank-tejeda/T000113,Texas,Democratic,House: 1993-1999,28
"Representative Tenney, Claudia",https://www.congress.gov/member/claudia-tenney/T000478,New York,Republican,"House: 2017-2019, 2021-Present",22
"Representative Terry, Lee",https://www.congress.gov/member/lee-terry/T000459,Nebraska,Republican,House: 1999-2015,2
"Senator Tester, Jon",https://www.congress.gov/member/jon-tester/T000464,Montana,Democratic,Senate: 2007-Present,
"Senator Thomas, Craig",https://www.congress.gov/member/craig-thomas/T000162,Wyoming,Republican,Senate: 1995-2007 House: 1989-1995,
"Representative Thomas, Lindsay",https://www.congress.gov/member/lindsay-thomas/T000184,Georgia,Democratic,House: 1983-1993,1
"Representative Thomas, William M.",https://www.congress.gov/member/william-thomas/T000188,California,Republican,House: 1979-2007,22
"Representative Thompson, Bennie G.",https://www.congress.gov/member/bennie-thompson/T000193,Mississippi,Democratic,House: 1993-Present,2
"Representative Thompson, Frank, Jr.",https://www.congress.gov/member/frank-thompson/T000200,New Jersey,Democratic,House: 1955-1981,4
"Senator Thompson, Fred",https://www.congress.gov/member/fred-thompson/T000457,Tennessee,Republican,Senate: 1994-2003,
"Representative Thompson, Glenn",https://www.congress.gov/member/glenn-thompson/T000467,Pennsylvania,Republican,House: 2009-Present,15
"Representative Thompson, Mike",https://www.congress.gov/member/mike-thompson/T000460,California,Democratic,House: 1999-Present,5
"Representative Thomson, Vernon W.",https://www.congress.gov/member/vernon-thomson/T000233,Wisconsin,Republican,House: 1961-1975,3
"Representative Thone, Charles",https://www.congress.gov/member/charles-thone/T000234,Nebraska,Republican,House: 1971-1979,1
"Representative Thornberry, Mac",https://www.congress.gov/member/william-thornberry/T000238,Texas,Republican,House: 1995-2021,13
"Representative Thornton, Ray",https://www.congress.gov/member/ray-thornton/T000243,Arkansas,Democratic,"House: 1973-1979, 1991-1997",2
"Senator Thune, John",https://www.congress.gov/member/john-thune/T000250,South Dakota,Republican,Senate: 2005-Present House: 1997-2003,
"Representative Thurman, Karen L.",https://www.congress.gov/member/karen-thurman/T000253,Florida,Democratic,House: 1993-2003,5
"Senator Thurmond, Strom",https://www.congress.gov/member/james-thurmond/T000254,South Carolina,Republican,Senate: 1953-2003,
"Representative Tiahrt, Todd",https://www.congress.gov/member/todd-tiahrt/T000260,Kansas,Republican,House: 1995-2011,4
"Representative Tiberi, Patrick J.",https://www.congress.gov/member/patrick-tiberi/T000462,Ohio,Republican,House: 2001-2018,12
"Representative Tiernan, Robert O.",https://www.congress.gov/member/robert-tiernan/T000265,Rhode Island,Democratic,House: 1967-1975,2
"Representative Tierney, John F.",https://www.congress.gov/member/john-tierney/T000266,Massachusetts,Democratic,House: 1997-2015,6
"Representative Tiffany, Thomas P.",https://www.congress.gov/member/thomas-tiffany/T000165,Wisconsin,Republican,House: 2020-Present,7
"Senator Tillis, Thom",https://www.congress.gov/member/thomas-tillis/T000476,North Carolina,Republican,Senate: 2015-Present,
"Representative Timmons, William R. IV",https://www.congress.gov/member/william-timmons/T000480,South Carolina,Republican,House: 2019-Present,4
"Representative Tipton, Scott R.",https://www.congress.gov/member/scott-tipton/T000470,Colorado,Republican,House: 2011-2021,3
"Representative Titus, Dina",https://www.congress.gov/member/dina-titus/T000468,Nevada,Democratic,"House: 2009-2011, 2013-Present",1
"Representative Tlaib, Rashida",https://www.congress.gov/member/rashida-tlaib/T000481,Michigan,Democratic,House: 2019-Present,13
"Representative Tonko, Paul",https://www.congress.gov/member/paul-tonko/T000469,New York,Democratic,House: 2009-Present,20
"Representative Tonry, Richard A.",https://www.congress.gov/member/richard-tonry/T000310,Louisiana,Democratic,House: 1977-1979,1
"Senator Toomey, Patrick J.",https://www.congress.gov/member/patrick-toomey/T000461,Pennsylvania,Republican,Senate: 2011-Present House: 1999-2005,
"Representative Torkildsen, Peter G.",https://www.congress.gov/member/peter-torkildsen/T000314,Massachusetts,Republican,House: 1993-1997,6
"Representative Torres Small, Xochitl",https://www.congress.gov/member/xochitl-torres-small/T000484,New Mexico,Democratic,House: 2019-2021,2
"Representative Torres, Estaban Edward",https://www.congress.gov/member/estaban-torres/T000316,California,Democratic,House: 1983-1999,34
"Representative Torres, Norma J.",https://www.congress.gov/member/norma-torres/T000474,California,Democratic,House: 2015-Present,35
"Representative Torres, Ritchie",https://www.congress.gov/member/ritchie-torres/T000486,New York,Democratic,House: 2021-Present,15
"Senator Torricelli, Robert G.",https://www.congress.gov/member/robert-torricelli/T000317,New Jersey,Democratic,Senate: 1997-2003 House: 1983-1997,
"Representative Towell, David",https://www.congress.gov/member/david-towell/T000321,Nevada,Republican,House: 1973-1975,98
"Senator Tower, John G.",https://www.congress.gov/member/john-tower/T000322,Texas,Republican,Senate: 1961-1985,
"Representative Towns, Edolphus",https://www.congress.gov/member/edolphus-towns/T000326,New York,Democratic,House: 1983-2013,10
"Representative Traficant, James A., Jr.",https://www.congress.gov/member/james-traficant/T000350,Ohio,Democratic,House: 1985-2002,17
"Representative Trahan, Lori",https://www.congress.gov/member/lori-trahan/T000482,Massachusetts,Democratic,House: 2019-Present,3
"Representative Traxler, Bob",https://www.congress.gov/member/bob-traxler/T000356,Michigan,Democratic,House: 1973-1993,8
"Representative Treen, David C.",https://www.congress.gov/member/david-treen/T000362,Louisiana,Republican,House: 1973-1981,3
"Senator Trible, Paul S., Jr.",https://www.congress.gov/member/paul-trible/T000367,Virginia,Republican,Senate: 1983-1989 House: 1977-1983,
"Representative Trone, David J.",https://www.congress.gov/member/david-trone/T000483,Maryland,Democratic,House: 2019-Present,6
"Representative Trott, David A.",https://www.congress.gov/member/david-trott/T000475,Michigan,Republican,House: 2015-2019,11
"Representative Tsongas, Niki",https://www.congress.gov/member/niki-tsongas/T000465,Massachusetts,Democratic,House: 2007-2019,3
"Senator Tsongas, Paul E.",https://www.congress.gov/member/paul-tsongas/T000393,Massachusetts,Democratic,Senate: 1979-1985 House: 1975-1979,
"Senator Tuberville, Tommy",https://www.congress.gov/member/tommy-tuberville/T000278,Alabama,Republican,Senate: 2021-Present,
"Representative Tucker, James G., Jr. (Jim Guy)",https://www.congress.gov/member/jim-tucker/T000400,Arkansas,Democratic,House: 1977-1979,2
"Representative Tucker, Walter R., III",https://www.congress.gov/member/walter-tucker/T000405,California,Democratic,House: 1993-1997,37
"Senator Tunney, John V.",https://www.congress.gov/member/john-tunney/T000410,California,Democratic,Senate: 1973-1977 House: 1965-1973,
"Representative Turner, Jim",https://www.congress.gov/member/jim-turner/T000424,Texas,Democratic,House: 1997-2005,2
"Representative Turner, Michael R.",https://www.congress.gov/member/michael-turner/T000463,Ohio,Republican,House: 2003-Present,10
"Representative Turner, Robert L.",https://www.congress.gov/member/robert-turner/T000471,New York,Republican,House: 2011-2013,9
"Senator Udall, Mark",https://www.congress.gov/member/mark-udall/U000038,Colorado,Democratic,Senate: 2009-2015 House: 1999-2009,
"Representative Udall, Morris K.",https://www.congress.gov/member/morris-udall/U000001,Arizona,Democratic,House: 1961-1993,2
"Senator Udall, Tom",https://www.congress.gov/member/tom-udall/U000039,New Mexico,Democratic,Senate: 2009-2021 House: 1999-2009,
"Representative Ullman, Al",https://www.congress.gov/member/albert-ullman/U000004,Oregon,Democratic,House: 1957-1981,2
"Representative Underwood, Lauren",https://www.congress.gov/member/lauren-underwood/U000040,Illinois,Democratic,House: 2019-Present,14
"Delegate Underwood, Robert A.",https://www.congress.gov/member/robert-underwood/U000014,Guam,Democratic,House: 1993-2003,At Large
"Representative Unsoeld, Jolene",https://www.congress.gov/member/jolene-unsoeld/U000017,Washington,Democratic,House: 1989-1995,3
"Representative Upton, Fred",https://www.congress.gov/member/fred-upton/U000031,Michigan,Republican,House: 1987-Present,6
"Representative Valadao, David G.",https://www.congress.gov/member/david-valadao/V000129,California,Republican,"House: 2013-2019, 2021-Present",21
