name,url,State,Party,Served,District
"Representative Denham, Jeff",https://www.congress.gov/member/jeff-denham/D000612,California,Republican,House: 2011-2019,10
"Representative Denholm, Frank E.",https://www.congress.gov/member/frank-denholm/D000234,South Dakota,Democratic,House: 1971-1975,1
"Representative Dennis, David W.",https://www.congress.gov/member/david-dennis/D000241,Indiana,Republican,House: 1969-1975,10
"Representative Dent, Charles W.",https://www.congress.gov/member/charles-dent/D000604,Pennsylvania,Republican,House: 2005-2018,15
"Representative Dent, John H.",https://www.congress.gov/member/john-dent/D000255,Pennsylvania,Democratic,House: 1957-1979,21
"Senator Denton, Jeremiah",https://www.congress.gov/member/jeremiah-denton/D000259,Alabama,Republican,Senate: 1981-1987,
"Representative Derrick, Butler C.",https://www.congress.gov/member/butler-derrick/D000267,South Carolina,Democratic,House: 1975-1995,3
"Representative Derwinski, Edward J.",https://www.congress.gov/member/edward-derwinski/D000269,Illinois,Republican,House: 1959-1983,4
"Representative DeSantis, Ron",https://www.congress.gov/member/ron-desantis/D000621,Florida,Republican,House: 2013-2018,6
"Representative DeSaulnier, Mark",https://www.congress.gov/member/mark-desaulnier/D000623,California,Democratic,House: 2015-Present,11
"Representative DesJarlais, Scott",https://www.congress.gov/member/scott-desjarlais/D000616,Tennessee,Republican,House: 2011-Present,4
"Representative Deutch, Theodore E.",https://www.congress.gov/member/theodore-deutch/D000610,Florida,Democratic,House: 2010-Present,22
"Representative Deutsch, Peter",https://www.congress.gov/member/peter-deutsch/D000275,Florida,Democratic,House: 1993-2005,20
"Representative Devine, Samuel L.",https://www.congress.gov/member/samuel-devine/D000279,Ohio,Republican,House: 1959-1981,12
"Senator DeWine, Mike",https://www.congress.gov/member/michael-dewine/D000294,Ohio,Republican,Senate: 1995-2007 House: 1983-1991,
"Representative Diaz-Balart, Lincoln",https://www.congress.gov/member/lincoln-diaz-balart/D000299,Florida,Republican,House: 1993-2011,21
"Representative Diaz-Balart, Mario",https://www.congress.gov/member/mario-diaz-balart/D000600,Florida,Republican,House: 2003-Present,25
"Representative Dickey, Jay",https://www.congress.gov/member/jay-dickey/D000312,Arkansas,Republican,House: 1993-2001,4
"Representative Dickinson, William L.",https://www.congress.gov/member/william-dickinson/D000326,Alabama,Republican,House: 1965-1993,2
"Representative Dicks, Norman D.",https://www.congress.gov/member/norman-dicks/D000327,Washington,Democratic,House: 1977-2013,6
"Representative Diggs, Charles C., Jr.",https://www.congress.gov/member/charles-diggs/D000344,Michigan,Democratic,House: 1955-1981,13
"Representative Dingell, Debbie",https://www.congress.gov/member/debbie-dingell/D000624,Michigan,Democratic,House: 2015-Present,12
"Representative Dingell, John D.",https://www.congress.gov/member/john-dingell/D000355,Michigan,Democratic,House: 1955-2015,12
"Representative DioGuardi, Joseph J.",https://www.congress.gov/member/joseph-dioguardi/D000359,New York,Republican,House: 1985-1989,20
"Senator Dixon, Alan J.",https://www.congress.gov/member/alan-dixon/D000366,Illinois,Democratic,Senate: 1981-1993,
"Representative Dixon, Julian C.",https://www.congress.gov/member/julian-dixon/D000373,California,Democratic,House: 1979-2003,32
"Representative Djou, Charles K.",https://www.congress.gov/member/charles-djou/D000611,Hawaii,Republican,House: 2010-2011,1
"Senator Dodd, Christopher J.",https://www.congress.gov/member/christopher-dodd/D000388,Connecticut,Democratic,Senate: 1981-2011 House: 1975-1981,
"Representative Doggett, Lloyd",https://www.congress.gov/member/lloyd-doggett/D000399,Texas,Democratic,House: 1995-Present,35
"Representative Dold, Robert J.",https://www.congress.gov/member/robert-dold/D000613,Illinois,Republican,"House: 2011-2013, 2015-2017",10
"Senator Dole, Elizabeth",https://www.congress.gov/member/elizabeth-dole/D000601,North Carolina,Republican,Senate: 2003-2009,
"Senator Dole, Robert J.",https://www.congress.gov/member/robert-dole/D000401,Kansas,Republican,Senate: 1969-1997 House: 1961-1969,
"Senator Domenici, Pete V.",https://www.congress.gov/member/pete-domenici/D000407,New Mexico,Republican,Senate: 1973-2009,
"Senator Dominick, Peter H.",https://www.congress.gov/member/peter-dominick/D000409,Colorado,Republican,Senate: 1973-1975 House: 1961-1963,
"Representative Donalds, Byron",https://www.congress.gov/member/byron-donalds/D000032,Florida,Republican,House: 2021-Present,19
"Representative Donnelly, Brian J.",https://www.congress.gov/member/brian-donnelly/D000416,Massachusetts,Democratic,House: 1979-1993,11
"Senator Donnelly, Joe",https://www.congress.gov/member/joe-donnelly/D000607,Indiana,Democratic,Senate: 2013-2019 House: 2007-2013,
"Representative Donohue, Harold D.",https://www.congress.gov/member/harold-donohue/D000419,Massachusetts,Democratic,House: 1947-1975,3
"Representative Donovan, Daniel M., Jr.",https://www.congress.gov/member/daniel-donovan/D000625,New York,Republican,House: 2015-2019,11
"Representative Dooley, Calvin M.",https://www.congress.gov/member/cal-dooley/D000424,California,Democratic,House: 1991-2005,20
"Representative Doolittle, John T.",https://www.congress.gov/member/john-doolittle/D000429,California,Republican,House: 1991-2009,4
"Senator Dorgan, Byron L.",https://www.congress.gov/member/byron-dorgan/D000432,North Dakota,Democratic,Senate: 1991-2011 House: 1981-1993,
"Representative Dorn, William Jennings Bryan",https://www.congress.gov/member/william-dorn/D000434,South Carolina,Democratic,"House: 1947-1949, 1951-1975",3
"Representative Dornan, Robert K.",https://www.congress.gov/member/robert-dornan/D000435,California,Republican,"House: 1977-1983, 1985-1997",46
"Representative Dougherty, Charles F.",https://www.congress.gov/member/charles-dougherty/D000446,Pennsylvania,Republican,House: 1979-1983,4
"Representative Douglas, Chuck",https://www.congress.gov/member/chuck-douglas/D000451,New Hampshire,Republican,House: 1989-1991,2
"Representative Dowdy, Wayne",https://www.congress.gov/member/wayne-dowdy/D000466,Mississippi,Democratic,House: 1981-1989,4
"Representative Downey, Thomas J.",https://www.congress.gov/member/thomas-downey/D000471,New York,Democratic,House: 1975-1993,2
"Representative Downing, Thomas N.",https://www.congress.gov/member/thomas-downing/D000474,Virginia,Democratic,House: 1959-1977,1
"Representative Doyle, Michael F.",https://www.congress.gov/member/mike-doyle/D000482,Pennsylvania,Democratic,House: 1995-Present,18
"Representative Drake, Thelma D.",https://www.congress.gov/member/thelma-drake/D000605,Virginia,Republican,House: 2005-2009,2
"Representative Dreier, David",https://www.congress.gov/member/david-dreier/D000492,California,Republican,House: 1981-2013,26
"Representative Driehaus, Steve",https://www.congress.gov/member/steve-driehaus/D000609,Ohio,Democratic,House: 2009-2011,1
"Representative Drinan, Robert F.",https://www.congress.gov/member/robert-drinan/D000499,Massachusetts,Democratic,House: 1971-1981,4
"Representative du Pont, Pierre S., IV",https://www.congress.gov/member/pierre-du-pont/D000558,Delaware,Republican,House: 1971-1977,At Large
"Senator Duckworth, Tammy",https://www.congress.gov/member/tammy-duckworth/D000622,Illinois,Democratic,Senate: 2017-Present House: 2013-2017,
"Representative Duffy, Sean P.",https://www.congress.gov/member/sean-duffy/D000614,Wisconsin,Republican,House: 2011-2019,7
"Representative Dulski, Thaddeus J.",https://www.congress.gov/member/thaddeus-dulski/D000523,New York,Democratic,House: 1959-1975,37
"Representative Duncan, Jeff",https://www.congress.gov/member/jeff-duncan/D000615,South Carolina,Republican,House: 2011-Present,3
"Representative Duncan, John J.",https://www.congress.gov/member/john-duncan/D000534,Tennessee,Republican,House: 1965-1989,2
"Representative Duncan, John J., Jr.",https://www.congress.gov/member/john-duncan/D000533,Tennessee,Republican,House: 1987-2019,2
"Representative Duncan, Robert B.",https://www.congress.gov/member/robert-duncan/D000537,Oregon,Democratic,"House: 1963-1967, 1975-1981",3
"Representative Dunn, Jennifer",https://www.congress.gov/member/jennifer-dunn/D000549,Washington,Republican,House: 1993-2005,8
"Representative Dunn, Jim",https://www.congress.gov/member/jim-dunn/D000548,Michigan,Republican,House: 1981-1983,6
"Representative Dunn, Neal P.",https://www.congress.gov/member/neal-dunn/D000628,Florida,Republican,House: 2017-Present,2
"Senator Durbin, Richard J.",https://www.congress.gov/member/richard-durbin/D000563,Illinois,Democratic,Senate: 1997-Present House: 1983-1997,
"Senator Durenberger, Dave",https://www.congress.gov/member/david-durenberger/D000566,Minnesota,Republican,Senate: 1977-1995,
"Senator Durkin, John A.",https://www.congress.gov/member/john-durkin/D000574,New Hampshire,Democratic,Senate: 1975-1981,
"Representative Dwyer, Bernard J.",https://www.congress.gov/member/bernard-dwyer/D000586,New Jersey,Democratic,House: 1981-1993,6
"Representative Dymally, Mervyn M.",https://www.congress.gov/member/mervyn-dymally/D000592,California,Democratic,House: 1981-1993,31
"Representative Dyson, Roy",https://www.congress.gov/member/royden-dyson/D000593,Maryland,Democratic,House: 1981-1991,1
"Senator Eagleton, Thomas F.",https://www.congress.gov/member/thomas-eagleton/E000004,Missouri,Democratic,Senate: 1967-1987,
"Representative Early, Joseph D.",https://www.congress.gov/member/joseph-early/E000013,Massachusetts,Democratic,House: 1975-1993,3
"Senator East, John P.",https://www.congress.gov/member/john-east/E000017,North Carolina,Republican,Senate: 1981-1987,
"Senator Eastland, James O.",https://www.congress.gov/member/james-eastland/E000018,Mississippi,Democratic,Senate: 1941-1979,
"Representative Eckart, Dennis E.",https://www.congress.gov/member/dennis-eckart/E000031,Ohio,Democratic,House: 1981-1993,11
"Representative Eckert, Fred J.",https://www.congress.gov/member/fred-eckert/E000033,New York,Republican,House: 1985-1987,30
"Representative Eckhardt, Bob",https://www.congress.gov/member/bob-eckhardt/E000035,Texas,Democratic,House: 1967-1981,8
"Representative Edgar, Robert W.",https://www.congress.gov/member/robert-edgar/E000043,Pennsylvania,Democratic,House: 1975-1987,7
"Representative Edwards, Chet",https://www.congress.gov/member/chet-edwards/E000063,Texas,Democratic,House: 1991-2011,17
"Representative Edwards, Don",https://www.congress.gov/member/don-edwards/E000064,California,Democratic,House: 1963-1995,16
"Representative Edwards, Donna F.",https://www.congress.gov/member/donna-edwards/E000290,Maryland,Democratic,House: 2008-2017,4
"Representative Edwards, Jack",https://www.congress.gov/member/jack-edwards/E000084,Alabama,Republican,House: 1965-1985,1
"Senator Edwards, John",https://www.congress.gov/member/john-edwards/E000286,North Carolina,Democratic,Senate: 1999-2005,
"Representative Edwards, Mickey",https://www.congress.gov/member/mickey-edwards/E000077,Oklahoma,Republican,House: 1977-1993,5
"Representative Ehlers, Vernon J.",https://www.congress.gov/member/vernon-ehlers/E000092,Michigan,Republican,House: 1993-2011,3
"Representative Ehrlich, Robert L., Jr.",https://www.congress.gov/member/robert-ehrlich/E000093,Maryland,Republican,House: 1995-2003,2
"Representative Eilberg, Joshua",https://www.congress.gov/member/joshua-eilberg/E000096,Pennsylvania,Democratic,House: 1967-1979,4
"Representative Ellison, Keith",https://www.congress.gov/member/keith-ellison/E000288,Minnesota,Democratic,House: 2007-2019,5
"Representative Ellmers, Renee L.",https://www.congress.gov/member/renee-ellmers/E000291,North Carolina,Republican,House: 2011-2017,2
"Representative Ellsworth, Brad",https://www.congress.gov/member/brad-ellsworth/E000289,Indiana,Democratic,House: 2007-2011,8
"Representative Ellzey, Jake",https://www.congress.gov/member/jake-ellzey/E000071,Texas,Republican,House: 2021-Present,6
"Representative Emanuel, Rahm",https://www.congress.gov/member/rahm-emanuel/E000287,Illinois,Democratic,House: 2003-2009,5
"Representative Emerson, Bill",https://www.congress.gov/member/bill-emerson/E000174,Missouri,Republican,House: 1981-1997,8
"Representative Emerson, Jo Ann",https://www.congress.gov/member/jo-emerson/E000172,Missouri,Republican,House: 1997-2013,8
"Representative Emery, David F.",https://www.congress.gov/member/david-emery/E000175,Maine,Republican,House: 1975-1983,1
"Representative Emmer, Tom",https://www.congress.gov/member/tom-emmer/E000294,Minnesota,Republican,House: 2015-Present,6
"Representative Engel, Eliot L.",https://www.congress.gov/member/eliot-engel/E000179,New York,Democratic,House: 1989-2021,16
"Representative English, Glenn",https://www.congress.gov/member/glenn-english/E000184,Oklahoma,Democratic,House: 1975-1995,6
"Representative English, Karan",https://www.congress.gov/member/karan-english/E000186,Arizona,Democratic,House: 1993-1995,6
"Representative English, Phil",https://www.congress.gov/member/phil-english/E000187,Pennsylvania,Republican,House: 1995-2009,3
"Senator Ensign, John",https://www.congress.gov/member/john-ensign/E000194,Nevada,Republican,Senate: 2001-2011 House: 1995-1999,
"Representative Enyart, William L.",https://www.congress.gov/member/william-enyart/E000292,Illinois,Democratic,House: 2013-2015,12
"Senator Enzi, Michael B.",https://www.congress.gov/member/michael-enzi/E000285,Wyoming,Republican,Senate: 1997-2021,
"Representative Erdahl, Arlen",https://www.congress.gov/member/arlen-erdahl/E000198,Minnesota,Republican,House: 1979-1983,1
"Representative Erdreich, Ben",https://www.congress.gov/member/ben-erdreich/E000201,Alabama,Democratic,House: 1983-1993,6
"Representative Erlenborn, John N.",https://www.congress.gov/member/john-erlenborn/E000204,Illinois,Republican,House: 1965-1985,13
"Senator Ernst, Joni",https://www.congress.gov/member/joni-ernst/E000295,Iowa,Republican,Senate: 2015-Present,
"Representative Ertel, Allen E.",https://www.congress.gov/member/allen-ertel/E000208,Pennsylvania,Democratic,House: 1977-1983,17
"Senator Ervin, Sam J., Jr.",https://www.congress.gov/member/samuel-ervin/E000211,North Carolina,Democratic,Senate: 1973-1975 House: 1945-1947,
"Representative Esch, Marvin L.",https://www.congress.gov/member/marvin-esch/E000213,Michigan,Republican,House: 1967-1977,2
"Representative Escobar, Veronica",https://www.congress.gov/member/veronica-escobar/E000299,Texas,Democratic,House: 2019-Present,16
"Representative Eshleman, Edwin D.",https://www.congress.gov/member/edwin-eshleman/E000214,Pennsylvania,Republican,House: 1967-1977,16
"Representative Eshoo, Anna G.",https://www.congress.gov/member/anna-eshoo/E000215,California,Democratic,House: 1993-Present,18
"Representative Espaillat, Adriano",https://www.congress.gov/member/adriano-espaillat/E000297,New York,Democratic,House: 2017-Present,13
"Representative Espy, Mike",https://www.congress.gov/member/mike-espy/E000218,Mississippi,Democratic,House: 1987-1995,2
"Representative Estes, Ron",https://www.congress.gov/member/ron-estes/E000298,Kansas,Republican,House: 2017-Present,4
"Representative Esty, Elizabeth H.",https://www.congress.gov/member/elizabeth-esty/E000293,Connecticut,Democratic,House: 2013-2019,5
"Representative Etheridge, Bob",https://www.congress.gov/member/bob-etheridge/E000226,North Carolina,Democratic,House: 1997-2011,2
"Representative Evans, Billy Lee",https://www.congress.gov/member/billy-evans/E000233,Georgia,Democratic,House: 1977-1983,8
"Representative Evans, Cooper",https://www.congress.gov/member/cooper-evans/E000259,Iowa,Republican,House: 1981-1987,3
"Senator Evans, Daniel J.",https://www.congress.gov/member/daniel-evans/E000236,Washington,Republican,Senate: 1983-1989,
"Representative Evans, David W.",https://www.congress.gov/member/david-evans/E000239,Indiana,Democratic,House: 1975-1983,6
"Representative Evans, Dwight",https://www.congress.gov/member/dwight-evans/E000296,Pennsylvania,Democratic,House: 2016-Present,3
"Representative Evans, Frank E.",https://www.congress.gov/member/frank-evans/E000240,Colorado,Democratic,House: 1965-1979,3
"Representative Evans, Lane",https://www.congress.gov/member/lane-evans/E000250,Illinois,Democratic,House: 1983-2007,17
"Delegate Evans, Melvin H.",https://www.congress.gov/member/melvin-evans/E000254,Virgin Islands,Republican,House: 1979-1981,At Large
"Representative Evans, Thomas B., Jr.",https://www.congress.gov/member/thomas-evans/E000258,Delaware,Republican,House: 1977-1983,At Large
"Representative Everett, Terry",https://www.congress.gov/member/terry-everett/E000268,Alabama,Republican,House: 1993-2009,2
"Representative Evins, Joe L.",https://www.congress.gov/member/joseph-evins/E000273,Tennessee,Democratic,House: 1947-1977,4
"Representative Ewing, Thomas W.",https://www.congress.gov/member/thomas-ewing/E000282,Illinois,Republican,House: 1991-2001,15
"Senator Exon, J. James",https://www.congress.gov/member/john-exon/E000284,Nebraska,Democratic,Senate: 1979-1997,
"Senator Faircloth, Lauch",https://www.congress.gov/member/duncan-faircloth/F000437,North Carolina,Republican,Senate: 1993-1999,
"Delegate Faleomavaega, Eni F. H.",https://www.congress.gov/member/eni-faleomavaega/F000010,American Samoa,Democratic,House: 1989-2015,At Large
"Representative Fallin, Mary",https://www.congress.gov/member/mary-fallin/F000453,Oklahoma,Republican,House: 2007-2011,5
"Representative Fallon, Pat",https://www.congress.gov/member/pat-fallon/F000246,Texas,Republican,House: 2021-Present,4
"Senator Fannin, Paul J.",https://www.congress.gov/member/paul-fannin/F000013,Arizona,Republican,Senate: 1965-1977,
"Representative Farenthold, Blake",https://www.congress.gov/member/blake-farenthold/F000460,Texas,Republican,House: 2011-2018,27
"Representative Farr, Sam",https://www.congress.gov/member/sam-farr/F000030,California,Democratic,House: 1993-2017,20
"Representative Fary, John G.",https://www.congress.gov/member/john-fary/F000040,Illinois,Democratic,House: 1975-1983,5
"Representative Fascell, Dante B.",https://www.congress.gov/member/dante-fascell/F000041,Florida,Democratic,House: 1955-1993,19
"Representative Faso, John J.",https://www.congress.gov/member/john-faso/F000464,New York,Republican,House: 2017-2019,19
"Representative Fattah, Chaka",https://www.congress.gov/member/chaka-fattah/F000043,Pennsylvania,Democratic,House: 1995-2016,2
"Delegate Fauntroy, Walter E.",https://www.congress.gov/member/walter-fauntroy/F000046,District of Columbia,Democratic,House: 1971-1991,At Large
"Representative Fawell, Harris W.",https://www.congress.gov/member/harris-fawell/F000049,Illinois,Republican,House: 1985-1999,13
"Representative Fazio, Vic",https://www.congress.gov/member/vic-fazio/F000053,California,Democratic,House: 1979-1999,3
"Representative Feeney, Tom",https://www.congress.gov/member/tom-feeney/F000447,Florida,Republican,House: 2003-2009,24
"Representative Feenstra, Randy",https://www.congress.gov/member/randy-feenstra/F000446,Iowa,Republican,House: 2021-Present,4
"Representative Feighan, Edward F.",https://www.congress.gov/member/edward-feighan/F000059,Ohio,Democratic,House: 1983-1993,19
"Senator Feingold, Russell D.",https://www.congress.gov/member/russell-feingold/F000061,Wisconsin,Democratic,Senate: 1993-2011,
"Senator Feinstein, Dianne",https://www.congress.gov/member/dianne-feinstein/F000062,California,Democratic,Senate: 1992-Present,
"Representative Fenwick, Millicent H.",https://www.congress.gov/member/millicent-fenwick/F000078,New Jersey,Republican,House: 1975-1983,5
"Representative Ferguson, A. Drew, IV",https://www.congress.gov/member/a-ferguson/F000465,Georgia,Republican,House: 2017-Present,3
"Representative Ferguson, Mike",https://www.congress.gov/member/mike-ferguson/F000443,New Jersey,Republican,House: 2001-2009,7
"Representative Ferraro, Geraldine A.",https://www.congress.gov/member/geraldine-ferraro/F000088,New York,Democratic,House: 1979-1985,9
"Representative Fiedler, Bobbi",https://www.congress.gov/member/bobbi-fiedler/F000102,California,Republican,House: 1981-1987,21
"Representative Fields, Cleo",https://www.congress.gov/member/cleo-fields/F000110,Louisiana,Democratic,House: 1993-1997,4
"Representative Fields, Jack",https://www.congress.gov/member/jack-fields/F000111,Texas,Republican,House: 1981-1997,8
"Representative Filner, Bob",https://www.congress.gov/member/bob-filner/F000116,California,Democratic,House: 1993-2013,51
"Representative Fincher, Stephen Lee",https://www.congress.gov/member/stephen-fincher/F000458,Tennessee,Republican,House: 2011-2017,8
"Representative Findley, Paul",https://www.congress.gov/member/paul-findley/F000123,Illinois,Republican,House: 1961-1983,20
"Representative Fingerhut, Eric D.",https://www.congress.gov/member/eric-fingerhut/F000128,Ohio,Democratic,House: 1993-1995,19
"Representative Finkenauer, Abby",https://www.congress.gov/member/abby-finkenauer/F000467,Iowa,Democratic,House: 2019-2021,1
"Representative Fischbach, Michelle",https://www.congress.gov/member/michelle-fischbach/F000470,Minnesota,Republican,House: 2021-Present,7
"Senator Fischer, Deb",https://www.congress.gov/member/deb-fischer/F000463,Nebraska,Republican,Senate: 2013-Present,
"Representative Fish, Hamilton, Jr.",https://www.congress.gov/member/hamilton-fish/F000141,New York,Republican,House: 1969-1995,19
"Representative Fisher, Joesph L.",https://www.congress.gov/member/joseph-fisher/F000151,Virginia,Democratic,House: 1975-1981,10
"Representative Fisher, O. C.",https://www.congress.gov/member/ovie-fisher/F000152,Texas,Democratic,House: 1943-1975,21
"Representative Fithian, Floyd J.",https://www.congress.gov/member/floyd-fithian/F000161,Indiana,Democratic,House: 1975-1983,2
"Senator Fitzgerald, Peter",https://www.congress.gov/member/peter-fitzgerald/F000442,Illinois,Republican,Senate: 1999-2005,
"Representative Fitzgerald, Scott",https://www.congress.gov/member/scott-fitzgerald/F000471,Wisconsin,Republican,House: 2021-Present,5
"Representative Fitzpatrick, Brian K.",https://www.congress.gov/member/brian-fitzpatrick/F000466,Pennsylvania,Republican,House: 2017-Present,1
"Representative Fitzpatrick, Michael G.",https://www.congress.gov/member/michael-fitzpatrick/F000451,Pennsylvania,Republican,"House: 2005-2007, 2011-2017",8
"Representative Flake, Floyd H.",https://www.congress.gov/member/floyd-flake/F000184,New York,Democratic,House: 1987-1999,6
"Senator Flake, Jeff",https://www.congress.gov/member/jeff-flake/F000444,Arizona,Republican,Senate: 2013-2019 House: 2001-2013,
"Representative Flanagan, Michael Patrick",https://www.congress.gov/member/michael-flanagan/F000187,Illinois,Republican,House: 1995-1997,5
"Representative Fleischmann, Charles J. ""Chuck""",https://www.congress.gov/member/charles-fleischmann/F000459,Tennessee,Republican,House: 2011-Present,3
"Representative Fleming, John",https://www.congress.gov/member/john-fleming/F000456,Louisiana,Republican,House: 2009-2017,4
"Representative Fletcher, Ernie",https://www.congress.gov/member/ernest-fletcher/F000441,Kentucky,Republican,House: 1999-2003,6
"Representative Fletcher, Lizzie",https://www.congress.gov/member/lizzie-fletcher/F000468,Texas,Democratic,House: 2019-Present,7
"Representative Flippo, Ronnie G.",https://www.congress.gov/member/ronnie-flippo/F000208,Alabama,Democratic,House: 1977-1991,5
"Representative Flood, Daniel J.",https://www.congress.gov/member/daniel-flood/F000209,Pennsylvania,Democratic,"House: 1945-1947, 1949-1953, 1955-1981",11
"Representative Flood, Mike",https://www.congress.gov/member/mike-flood/F000474,Nebraska,Republican,House: 2022-Present,1
"Representative Flores, Bill",https://www.congress.gov/member/bill-flores/F000461,Texas,Republican,House: 2011-2021,17
"Representative Flores, Mayra",https://www.congress.gov/member/mayra-flores/F000473,Texas,Republican,House: 2022-Present,34
"Representative Florio, James J.",https://www.congress.gov/member/james-florio/F000215,New Jersey,Democratic,House: 1975-1991,1
"Representative Flowers, Walter",https://www.congress.gov/member/walter-flowers/F000218,Alabama,Democratic,House: 1969-1979,7
"Representative Flynt, John J., Jr.",https://www.congress.gov/member/john-flynt/F000229,Georgia,Democratic,House: 1953-1979,6
"Representative Foglietta, Thomas M.",https://www.congress.gov/member/thomas-foglietta/F000235,Pennsylvania,Democratic,House: 1981-1999,1
"Representative Foley, Mark",https://www.congress.gov/member/mark-foley/F000238,Florida,Republican,House: 1995-2007,16
"Representative Foley, Thomas S.",https://www.congress.gov/member/thomas-foley/F000239,Washington,Democratic,House: 1965-1995,5
"Senator Fong, Hiram L.",https://www.congress.gov/member/hiram-fong/F000245,Hawaii,Republican,Senate: 1959-1977,
"Representative Forbes, J. Randy",https://www.congress.gov/member/j-forbes/F000445,Virginia,Republican,House: 2001-2017,4
"Representative Forbes, Michael P.",https://www.congress.gov/member/michael-forbes/F000257,New York,Democratic,House: 1995-2001,1
"Representative Ford, Gerald R., Jr.",https://www.congress.gov/member/gerald-ford/F000260,Michigan,Republican,House: 1949-1975,5
"Representative Ford, Harold E.",https://www.congress.gov/member/harold-ford/F000261,Tennessee,Democratic,House: 1975-1997,9
"Representative Ford, Harold E., Jr.",https://www.congress.gov/member/harold-ford/F000262,Tennessee,Democratic,House: 1997-2007,9
"Senator Ford, Wendell H.",https://www.congress.gov/member/wendell-ford/F000268,Kentucky,Democratic,Senate: 1975-1999,
"Representative Ford, William D.",https://www.congress.gov/member/william-ford/F000270,Michigan,Democratic,House: 1965-1995,13
"Representative Forsythe, Edwin B.",https://www.congress.gov/member/edwin-forsythe/F000286,New Jersey,Republican,House: 1969-1985,13
"Representative Fortenberry, Jeff",https://www.congress.gov/member/jeff-fortenberry/F000449,Nebraska,Republican,House: 2005-2022,1
"Resident Commissioner Fortuno, Luis G.",https://www.congress.gov/member/luis-fortuno/F000452,Puerto Rico,Republican,House: 2005-2009,At Large
"Representative Fossella, Vito",https://www.congress.gov/member/vito-fossella/F000440,New York,Republican,House: 1997-2009,13
"Representative Foster, Bill",https://www.congress.gov/member/bill-foster/F000454,Illinois,Democratic,"House: 2008-2011, 2013-Present",11
"Representative Fountain, L. H.",https://www.congress.gov/member/lawrence-fountain/F000319,North Carolina,Democratic,House: 1953-1983,2
"Representative Fowler, Tillie",https://www.congress.gov/member/tillie-fowler/F000328,Florida,Republican,House: 1993-2001,4
"Senator Fowler, Wyche, Jr.",https://www.congress.gov/member/wyche-fowler/F000329,Georgia,Democratic,Senate: 1987-1993 House: 1977-1987,
"Representative Fox, Jon D.",https://www.congress.gov/member/jon-fox/F000332,Pennsylvania,Republican,House: 1995-1999,13
"Representative Foxx, Virginia",https://www.congress.gov/member/virginia-foxx/F000450,North Carolina,Republican,House: 2005-Present,5
"Senator Frahm, Sheila",https://www.congress.gov/member/sheila-frahm/F000438,Kansas,Republican,Senate: 1995-1997,
"Representative Frank, Barney",https://www.congress.gov/member/barney-frank/F000339,Massachusetts,Democratic,House: 1981-2013,4
"Representative Frankel, Lois",https://www.congress.gov/member/lois-frankel/F000462,Florida,Democratic,House: 2013-Present,21
"Senator Franken, Al",https://www.congress.gov/member/al-franken/F000457,Minnesota,Democratic,Senate: 2009-2018,
"Representative Franklin, C. Scott",https://www.congress.gov/member/c-franklin/F000472,Florida,Republican,House: 2021-Present,15
"Representative Franklin, William W.",https://www.congress.gov/member/william-franklin/F000347,Mississippi,Republican,House: 1983-1987,2
"Representative Franks, Bob",https://www.congress.gov/member/bob-franks/F000349,New Jersey,Republican,House: 1993-2001,7
"Representative Franks, Gary A.",https://www.congress.gov/member/gary-franks/F000348,Connecticut,Republican,House: 1991-1997,5
"Representative Franks, Trent",https://www.congress.gov/member/trent-franks/F000448,Arizona,Republican,House: 2003-2017,8
"Representative Fraser, Donald M.",https://www.congress.gov/member/donald-fraser/F000350,Minnesota,Democratic,House: 1963-1979,5
"Delegate Frazer, Victor O.",https://www.congress.gov/member/victor-frazer/F000351,Virgin Islands,Independent,House: 1995-1997,At Large
"Representative Frelinghuysen, Peter H. B.",https://www.congress.gov/member/peter-frelinghuysen/F000371,New Jersey,Republican,House: 1953-1975,5
"Representative Frelinghuysen, Rodney P.",https://www.congress.gov/member/rodney-frelinghuysen/F000372,New Jersey,Republican,House: 1995-2019,11
"Representative Frenzel, Bill",https://www.congress.gov/member/william-frenzel/F000380,Minnesota,Republican,House: 1971-1991,3
"Representative Frey, Lou, Jr.",https://www.congress.gov/member/louis-frey/F000381,Florida,Republican,House: 1969-1979,9
"Representative Frisa, Dan",https://www.congress.gov/member/daniel-frisa/F000387,New York,Republican,House: 1995-1997,4
"Senator Frist, William H.",https://www.congress.gov/member/william-frist/F000439,Tennessee,Republican,Senate: 1995-2007,
"Representative Froehlich, Harold V.",https://www.congress.gov/member/harold-froehlich/F000388,Wisconsin,Republican,House: 1973-1975,8
"Representative Frost, Martin",https://www.congress.gov/member/martin-frost/F000392,Texas,Democratic,House: 1979-2005,24
"Representative Fudge, Marcia L.",https://www.congress.gov/member/marcia-fudge/F000455,Ohio,Democratic,House: 2008-2021,11
"Senator Fulbright, James",https://www.congress.gov/member/james-fulbright/F000401,Arkansas,Democratic,"Senate: 1945-1947, 1973-1975 House: 1943-1945",
"Representative Fulcher, Russ",https://www.congress.gov/member/russ-fulcher/F000469,Idaho,Republican,House: 2019-Present,1
"Representative Fulton, Richard",https://www.congress.gov/member/richard-fulton/F000424,Tennessee,Democratic,House: 1963-1977,5
"Representative Funderburk, David",https://www.congress.gov/member/david-funderburk/F000426,North Carolina,Republican,House: 1995-1997,2
