name,city,state,url
"Littleton Gem and Mineral Club, Inc.",Littleton,Colorado,http://littletongemandmineralclub.com/
Mile High Rock and Mineral Society,Arvada,Colorado,http://www.milehirams.com/
North Jeffco Gem & Mineral Club,Arvada,Colorado,http://www.peaktopeak.com/njeffco/index.php
Pueblo Rockhounds,Pueblo,Colorado,http://www.pueblorockhounds.org/
Western Interior Paleontological Society,Denver,Colorado,http://www.westernpaleo.org/
Bristol Gem & Mineral Club,Bristol,Connecticut,http://bristolgem.org/
Danbury Mineralogical Society,Danbury,Connecticut,http://danburymineralogicalsociety.weebly.com/
Lapidary and Mineral Society of Central Connecticut,Meriden,Connecticut,http://www.lmscc.org/
New Haven Mineral Club,New Haven,Connecticut,http://www.newhavenmineralclub.org/
Stamford Mineralogical Society,Stamford,Connecticut,http://www.stamfordmineralsociety.org/
"Delaware Mineralogical Society, Inc.",Wilmington,Delaware,http://www.delminsociety.net/
Canaveral Mineral & Gem Society,Melbourne,Florida,http://www.canaveral-mgs.com/
Central Brevard Rock and Gem Club,Merritt Island,Florida,http://www.centralbrevardgems.org/
Central Florida Mineral and Gem Society,Winter Park,Florida,http://www.cfmgs.org/
Florida Fossil Hunters,Orlando,Florida,http://floridafossilhunters.com/
Florida Gold Coast Gem & Mineral Society,Hollywood,Florida,http://fgcgms.com/main/
Fossil Club of Lee County,Ft. Myers,Florida,http://www.fcolc.com/
Gainesville Gem & Mineral Society,Gainesville,Florida,http://gainesvillegms.weebly.com/
Gem and Mineral Society of the Palm Beaches,West Palm Beach,Florida,http://www.gemandmineralsociety.org/
"Imperial Bone Valley Gem, Mineral, & Fossil Society",Lakeland,Florida,http://www.bonevalley.net/
"Jacksonville Gem and Mineral Society, Inc.",Jacksonville,Florida,http://www.jaxgemandmineral.org/
"Miami Mineralogical and Lapidary Guild, Inc.",Miami,Florida,http://www.mmlg-inc.org/
Playground Gem and Mineral Society,Ft. Walton Beach,Florida,http://playgroundgem.org/
Southwest Florida Fossil Society,Punta Gorda,Florida,http://www.southwestfloridafossilsociety.org/
St Lucie County Rock and Gem Club,Port St Lucie,Florida,http://www.slcrockandgem.org/
Suncoast Gem and Mineral Society,St Petersburg,Florida,http://sgams.com/
Tampa Bay Fossil Club,Palm Harbor,Florida,http://www.tampabayfossilclub.com/
"Tampa Bay Mineral & Science Club, Inc.",Tampa,Florida,http://www.tampabayrockclub.com/
The Villages Gem and Mineral Society,The Villages,Florida,http://www.thevillagesgemandmineralsociety.com/
Tomoka Faceters Guild,Palm Coast,Florida,http://www.tomokafacetersguild.org/index.html
Withlacoochee Rockhounds,Spring Hill,Florida,http://www.withlacoocheerockhounds.com/
Athens Rock and Gem Club,Athens,Georgia,http://www.athensrockandgemclub.org/
Augusta Gem & Mineral Society,Augusta,Georgia,http://agams.club/
Cobb County Gem and Mineral Society,Marietta,Georgia,https://www.ccgms.org/
"Georgia Mineral Society, Inc.",Norcross,Georgia,http://www.gamineral.org/
Mid-Georgia Gem and Mineral Society,Macon,Georgia,http://midgagmsorg.ipage.com/
Rome Georgia Mineral Society Inc.,Rome,Georgia,https://rogams.wordpress.com/
"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc.",Honolulu,Hawaii,http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html
"Hells Canyon Gem Club, Inc.",Lewiston,Idaho,http://www.hellscanyongemclub.com/
Idaho Falls Gem & Mineral Society,Idaho Falls,Idaho,http://ifgemmineral.weebly.com/
"Idaho Gem Club, Inc.",Boise,Idaho,http://www.idahogemclub.com/
Magic Valley Gem Club,Twin Falls,Idaho,http://magicvalleygemclub.org/
North Idaho Mineral Club,Coeur d'Alene,Idaho,http://www.northidahomineralclub.com/
Owyhee Gem & Mineral Society,Caldwell,Idaho,http://www.owyheerocks.com/
Pend Oreille Rock and Gem Club,Oldtown,Idaho,https://pendoreillerockandgemclub.wordpress.com/
Southeast Idaho Gem and Mineral Society,Boise,Idaho,https://www.facebook.com/SEIGMS
Black Hawk Gem & Mineral Club,Rock Island,Illinois,http://www.blackhawkgemandmineralclub.com/
Central Illinois Gem & Mineral Club,Decatur,Illinois,http://rmkapta.wixsite.com/cigmc
Chicago Rocks & Minerals Society,Skokie,Illinois,http://www.chicagorocks.org/
Elgin Rock Club,Elgin,Illinois,http://elginrockclub.org/
"Geodeland Earth Science Clubs, Inc.",Macomb,Illinois,http://www.geodeland.com/
Lincoln Orbit Earth Science Society,Springfield,Illinois,http://www.loess.org/
Midwest Historical Research Society,Chicago,Illinois,http://www.mhrsusa.com/
Northwest Illinois Rock Club,Freeport,Illinois,http://nwilrockclubfrpt.blogspot.com/
Peoria Academy of Science Geology Section,Peoria,Illinois,http://www.pasgeology.com/
Southern Illinois Earth Science Club,Benton,Illinois,http://www.siesclub.org/
West Central Illinois Rock & Mineral Club,Macomb,Illinois,http://www.rockchatter.com/
West Suburban Lapidary Club,Elmhurst,Illinois,http://www.westsuburbanlapidaryclub.com/
500 Earth Sciences Club,Indianapolis,Indiana,http://www.500earthsciencesclub.org/
Brown County Rock and Mineral Club,Nashville,Indiana,http://browncountyrock.webs.com/
Calumet Gem & Mineral Society,Crown Point,Indiana,https://www.facebook.com/calumetrockclub
Evansville Lapidary Society,Evansville,Indiana,http://evansvillelapidarysociety.tumblr.com/
"Eastern Indiana Gem & Geological Society, Inc.",Richmond,Indiana,http://eiggs.weebly.com/
"Lawrence County Rock Club, Inc",Bedford,Indiana,http://www.lawrencecountyrockclub.org/
"Michiana Gem & Mineral Society, Inc.",South Bend,Indiana,http://www.michianagms.org/
Three Rivers Gem & Mineral Society,Fort Wayne,Indiana,http://3riversgem_mineral.tripod.com/
Cedar Valley Rocks and Minerals Society,Cedar Rapids,Iowa,http://www.cedarvalleyrockclub.org/
